             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff       trig_err             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_mu          ul_br          ul_u2    high1_ul_mu    high1_ul_br    high1_ul_u2     low1_ul_mu     low1_ul_br     low1_ul_u2    high2_ul_mu    high2_ul_br    high2_ul_u2     low2_ul_mu     low2_ul_br     low2_ul_u2       dt_ul_mu       dt_ul_br       dt_ul_u2       dt_ll_mu       dt_ll_br       dt_ll_u2       err_scat       err_trig        err_muv       err_flux     err_hscale       err_hval     err_hshape
  mc.p5.hnu.280.nodk            280        0.07840        0.28000        0.29664        0.00370        0.20686        0.00049        0.88780        0.01499     2008.41053       84.64493     1915.00000    7.60546e+02    3.67666e+03    7.60546e+02    1.27237e-05    4.33302e-06    1.22864e+03    2.05549e-05    6.99989e-06    4.24482e+02    7.10148e-06    2.41838e-06    1.69184e+03    2.83041e-05    9.63886e-06    2.68141e+02    4.48593e-06    1.52767e-06    4.31577e+02    7.22017e-06    2.45880e-06    0.00000e+00    0.00000e+00    0.00000e+00    2.96857e+03    1.14932e+03    4.03371e+02    1.00843e+02    4.98443e+02    9.38748e+02    1.10547e+03
  mc.p5.hnu.281.nodk            281        0.07896        0.28100        0.29694        0.00370        0.20793        0.00049        0.88213        0.01501     2011.68417       86.01122     1933.00000    7.64987e+02    3.67906e+03    7.64987e+02    1.27980e-05    4.36009e-06    1.23546e+03    2.06689e-05    7.04159e-06    4.27614e+02    7.15387e-06    2.43721e-06    1.70592e+03    2.85397e-05    9.72303e-06    2.70403e+02    4.52377e-06    1.54118e-06    4.75324e+02    7.95205e-06    2.70914e-06    0.00000e+00    0.00000e+00    0.00000e+00    2.97826e+03    1.17136e+03    4.04687e+02    1.01172e+02    5.84097e+02    9.71224e+02    1.18714e+03
  mc.p5.hnu.282.nodk            282        0.07952        0.28200        0.29794        0.00370        0.20889        0.00049        0.89307        0.01474     2022.56877       81.20619     1940.00000    7.29232e+02    3.49097e+03    7.29232e+02    1.21999e-05    4.15833e-06    1.17841e+03    1.97145e-05    6.71969e-06    4.07127e+02    6.81113e-06    2.32158e-06    1.62757e+03    2.72287e-05    9.28094e-06    2.57241e+02    4.30357e-06    1.46688e-06    4.33768e+02    7.25683e-06    2.47350e-06    0.00000e+00    0.00000e+00    0.00000e+00    2.51881e+03    1.11449e+03    4.09078e+02    1.02270e+02    4.82599e+02    9.31098e+02    1.03610e+03
  mc.p5.hnu.283.nodk            283        0.08009        0.28300        0.29828        0.00370        0.20926        0.00049        0.88350        0.01511     2005.73717       81.68645     1943.00000    7.29710e+02    3.48706e+03    7.29710e+02    1.22079e-05    4.16343e-06    1.17807e+03    1.97088e-05    6.72159e-06    4.08219e+02    6.82939e-06    2.32913e-06    1.63124e+03    2.72902e-05    9.30718e-06    2.58230e+02    4.32013e-06    1.47336e-06    4.90076e+02    8.19884e-06    2.79617e-06    0.00000e+00    0.00000e+00    0.00000e+00    2.47706e+03    1.17607e+03    4.02298e+02    1.00575e+02    4.96386e+02    9.54097e+02    1.06619e+03
  mc.p5.hnu.284.nodk            284        0.08066        0.28400        0.29831        0.00370        0.21063        0.00049        0.87947        0.01507     2013.11937       81.91823     1991.00000    7.29829e+02    3.46504e+03    7.29829e+02    1.22098e-05    4.16682e-06    1.17528e+03    1.96622e-05    6.71006e-06    4.06320e+02    6.79762e-06    2.31981e-06    1.62072e+03    2.71141e-05    9.25317e-06    2.57348e+02    4.30536e-06    1.46928e-06    6.31996e+02    1.05731e-05    3.60826e-06    0.00000e+00    0.00000e+00    0.00000e+00    2.27377e+03    1.18955e+03    4.05265e+02    1.01316e+02    5.27934e+02    1.04032e+03    1.17244e+03
  mc.p5.hnu.285.nodk            285        0.08123        0.28500        0.29902        0.00370        0.21171        0.00049        0.87879        0.01515     2028.77885       84.68783     1997.00000    7.42491e+02    3.50709e+03    7.42491e+02    1.24217e-05    4.24223e-06    1.19984e+03    2.00731e-05    6.85532e-06    4.14878e+02    6.94081e-06    2.37041e-06    1.65718e+03    2.77242e-05    9.46834e-06    2.62319e+02    4.38852e-06    1.49876e-06    6.09810e+02    1.02020e-05    3.48416e-06    0.00000e+00    0.00000e+00    0.00000e+00    2.30928e+03    1.22289e+03    4.11594e+02    1.02899e+02    6.25400e+02    1.15817e+03    1.34179e+03
  mc.p5.hnu.286.nodk            286        0.08180        0.28600        0.29912        0.00350        0.20492        0.00048        0.87247        0.01602     1888.27876       77.57951     1901.00000    7.13437e+02    3.48151e+03    7.13437e+02    1.19356e-05    4.07958e-06    1.15179e+03    1.92692e-05    6.58618e-06    3.98298e+02    6.66342e-06    2.27755e-06    1.59012e+03    2.66023e-05    9.09263e-06    2.51534e+02    4.20810e-06    1.43832e-06    7.77470e+02    1.30069e-05    4.44573e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.87469e+03    1.20148e+03    3.56560e+02    8.91399e+01    4.60640e+02    1.03381e+03    1.00226e+03
  mc.p5.hnu.287.nodk            287        0.08237        0.28700        0.29925        0.00350        0.20564        0.00048        0.88687        0.01525     1943.12256       79.51592     1911.00000    7.27651e+02    3.53842e+03    7.27651e+02    1.21734e-05    4.16462e-06    1.17420e+03    1.96440e-05    6.72038e-06    4.06223e+02    6.79600e-06    2.32497e-06    1.61581e+03    2.70321e-05    9.24790e-06    2.56521e+02    4.29153e-06    1.46817e-06    5.87280e+02    9.82504e-06    3.36122e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.98517e+03    1.11569e+03    3.77573e+02    9.43931e+01    4.94896e+02    1.12713e+03    1.12793e+03
  mc.p5.hnu.288.nodk            288        0.08294        0.28800        0.30065        0.00350        0.20760        0.00049        0.88867        0.01488     1940.64375       77.20068     1939.00000    7.02202e+02    3.38243e+03    7.02202e+02    1.17477e-05    4.02295e-06    1.13490e+03    1.89865e-05    6.50188e-06    3.92101e+02    6.55974e-06    2.24636e-06    1.56756e+03    2.62249e-05    8.98065e-06    2.47747e+02    4.14474e-06    1.41935e-06    6.97380e+02    1.16670e-05    3.99533e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.98011e+03    1.05528e+03    3.76610e+02    9.41525e+01    4.23116e+02    1.08566e+03    9.45019e+02
  mc.p5.hnu.289.nodk            289        0.08352        0.28900        0.30091        0.00350        0.20827        0.00049        0.90170        0.01389     1975.42563       75.04123     1969.00000    6.87893e+02    3.30294e+03    6.87893e+02    1.15083e-05    3.94523e-06    1.10960e+03    1.85633e-05    6.36380e-06    3.84783e+02    6.43733e-06    2.20682e-06    1.53127e+03    2.56178e-05    8.78220e-06    2.42182e+02    4.05165e-06    1.38897e-06    6.59505e+02    1.10333e-05    3.78242e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.78980e+03    9.26029e+02    3.90231e+02    9.75577e+01    4.33862e+02    1.07698e+03    9.16732e+02
