              ntotal                 eff                  up                down               width                 rat
                 250                0.63            0.678942            0.574771            0.104172             1.39958
                 250                0.64             0.69049            0.587008            0.103483             1.37259
                 250                0.65             0.69817            0.595184            0.102986             1.34869
                 250                0.66            0.709662            0.607477            0.102184             1.32218
                 250                0.67            0.717303            0.615692            0.101611             1.29904
                 250                0.68            0.728735            0.628044            0.100692             1.27295
                 250                0.69            0.736336            0.636298            0.100038              1.2505
                 250                 0.7            0.747707            0.648711           0.0989956             1.22475
                 250                0.71            0.755266            0.657008           0.0982578             1.20292
                 250                0.72             0.76657            0.669485           0.0970852             1.17744
                 250                0.73            0.774084            0.677826            0.096258             1.15616
                 250                0.74            0.785319            0.690373           0.0949468             1.13089
                 250                0.75            0.792785            0.698761            0.094024             1.11008
                 250                0.76            0.803945            0.711381            0.092564             1.08495
                 250                0.77            0.811359            0.719821            0.091538             1.06456
                 250                0.78            0.822438            0.732521           0.0899163              1.0395
                 250                0.79            0.829794            0.741017           0.0887777             1.01945
                 250                 0.8            0.840784            0.753805           0.0869786            0.994382
                 250                0.81            0.848077            0.762362           0.0857153            0.974621
                 250                0.82            0.858967            0.775248           0.0837186            0.949459
                 250                0.83             0.86619            0.783874           0.0823155            0.929911
                 250                0.84            0.876966            0.796871           0.0800951            0.904567
                 250                0.85            0.884108            0.805576           0.0785322            0.885157
                 250                0.86            0.894752            0.818699           0.0760532            0.859526
                 250                0.87            0.901799            0.827496           0.0743033            0.840171
                 250                0.88            0.912288             0.84077           0.0715178            0.814127
                 250                0.89             0.91922            0.849677           0.0695429            0.794731
                 250                 0.9            0.929517            0.863136           0.0663815            0.768119
                 250                0.91            0.936305             0.87218           0.0641248            0.748564
                 250                0.92            0.946354            0.885873           0.0604805            0.721184
                 250                0.93             0.95295            0.895099           0.0578509            0.701315
                 250                0.94            0.962655            0.909112           0.0535425            0.672888
                 250                0.95            0.968971            0.918596           0.0503752            0.652486
                 250                0.96            0.978141            0.933096            0.045045            0.622579
                 250                0.97            0.983979            0.943003           0.0409759            0.601274
                 250                0.98            0.992087             0.95841            0.033677             0.56904
                 250                0.99            0.996721            0.969279           0.0274423            0.545915
                 250                   1                   1            0.988089           0.0119114             0.50879
                 300                 0.5            0.548991            0.451009           0.0979825             1.76923
                 300                0.51            0.558908            0.460944           0.0979636             1.73703
                 300                0.52            0.568805            0.470898            0.097907             1.70551
                 300                0.53            0.578684            0.480871           0.0978125             1.67465
                 300                0.54            0.588544            0.490864           0.0976801              1.6444
                 300                0.55            0.598384            0.500875           0.0975096             1.61474
                 300                0.56            0.608206            0.510905           0.0973008             1.58563
                 300                0.57            0.618008            0.520955           0.0970534             1.55704
                 300                0.58            0.627791            0.531023           0.0967671             1.52894
                 300                0.59            0.637554            0.541112           0.0964416             1.50131
                 300                 0.6            0.647297             0.55122           0.0960764             1.47413
                 300                0.61             0.65702            0.561349           0.0956711             1.44736
                 300                0.62            0.666722            0.571497           0.0952252             1.42099
                 300                0.63            0.676405            0.581666            0.094738               1.395
                 300                0.64            0.686066            0.591857            0.094209             1.36935
                 300                0.65            0.695705            0.602068           0.0936373             1.34404
                 300                0.66            0.705323            0.612301           0.0930221             1.31904
                 300                0.67            0.714919            0.622556           0.0923626             1.29433
                 300                0.68            0.724491            0.632834           0.0916577              1.2699
                 300                0.69            0.734041            0.643134           0.0909064             1.24572
                 300                 0.7            0.743566            0.653459           0.0901074             1.22178
                 300                0.71            0.753067            0.663808           0.0892594             1.19807
                 300                0.72            0.762543            0.674182            0.088361             1.17456
                 300                0.73            0.771992            0.684582           0.0874105             1.15123
                 300                0.74            0.781415            0.695009           0.0864062             1.12808
                 300                0.75            0.790809            0.705463           0.0853461             1.10508
                 300                0.76            0.800174            0.715946           0.0842279             1.08221
                 300                0.77            0.809509            0.726459           0.0830493             1.05947
                 300                0.78            0.818812            0.737004           0.0818074             1.03683
                 300                0.79            0.828081            0.747582           0.0804994             1.01427
                 300                 0.8            0.837315            0.758194           0.0791217            0.991777
                 300                0.81            0.846512            0.768842           0.0776704            0.969334
                 300                0.82             0.85567            0.779529           0.0761412            0.946919
                 300                0.83            0.864786            0.790257           0.0745291            0.924512
                 300                0.84            0.873857            0.801029           0.0728282            0.902092
                 300                0.85             0.88288            0.811848           0.0710319            0.879635
                 300                0.86            0.891851            0.822718           0.0691324            0.857117
                 300                0.87            0.900764            0.833644           0.0671205            0.834511
                 300                0.88            0.909615             0.84463           0.0649851            0.811788
                 300                0.89            0.918396            0.855683            0.062713            0.788916
                 300                 0.9            0.927099            0.866812           0.0602877            0.765857
                 300                0.91            0.935714            0.878025           0.0576888            0.742572
                 300                0.92            0.944226            0.889336           0.0548901            0.719011
                 300                0.93            0.952618            0.900761            0.051857            0.695119
                 300                0.94            0.960864            0.912322           0.0485423            0.670826
                 300                0.95             0.96893            0.924051           0.0448787            0.646047
                 300                0.96             0.97676            0.935996            0.040764            0.620669
                 300                0.97            0.984262            0.948234           0.0360281            0.594531
                 300                0.98            0.991255            0.960909           0.0303461            0.567375
                 300                0.99            0.997269            0.974359           0.0229104             0.53867
                 300                   1                   1            0.990064          0.00993608             0.50735
                 350                 0.5            0.545264            0.454736           0.0905284              1.7659
                 350                0.51            0.553775            0.463259           0.0905156             1.73385
                 350                0.52            0.565103            0.474644           0.0904585             1.70232
                 350                0.53            0.573583            0.483198           0.0903856             1.67177
                 350                0.54            0.584871            0.494623           0.0902482             1.64134
                 350                0.55            0.593321            0.503206           0.0901149             1.61213
                 350                0.56            0.604568            0.514672           0.0898967             1.58267
                 350                0.57            0.612988            0.523286           0.0897024             1.55468
                 350                0.58            0.624194            0.534792           0.0894021              1.5261
                 350                0.59            0.632583            0.543437           0.0891458              1.4992
                 350                 0.6            0.643747            0.554985           0.0887621             1.47138
                 350                0.61            0.652104            0.563662           0.0884425             1.44547
                 350                0.62            0.663226            0.575252           0.0879733             1.41834
                 350                0.63             0.67155            0.583962           0.0875887             1.39331
                 350                0.64            0.682628            0.595596           0.0870315             1.36678
                 350                0.65            0.690919            0.604339           0.0865799             1.34255
                 350                0.66             0.70195            0.616019           0.0859316             1.31655
                 350                0.67            0.710206            0.624796           0.0854103             1.29303
                 350                0.68             0.72119            0.636523           0.0846672             1.26748
                 350                0.69             0.72941            0.645337           0.0840731             1.24461
                 350                 0.7            0.740344            0.657114           0.0832305             1.21943
                 350                0.71            0.748525            0.665965           0.0825598             1.19713
                 350                0.72            0.759406            0.677794           0.0816121             1.17227
                 350                0.73            0.767547            0.686687           0.0808601             1.15047
                 350                0.74            0.778372            0.698571           0.0798005             1.12586
                 350                0.75            0.786469            0.707507           0.0789616             1.10448
                 350                0.76            0.797233            0.719451           0.0777817             1.08005
                 350                0.77            0.805283            0.728434           0.0768489             1.05904
                 350                0.78            0.815982            0.740443           0.0755385             1.03472
                 350                0.79            0.823979            0.749476           0.0745032             1.01401
                 350                 0.8            0.834606            0.761557           0.0730493            0.989727
                 350                0.81            0.842547            0.770646           0.0719007            0.969254
                 350                0.82            0.853093            0.782806           0.0702869            0.944923
                 350                0.83             0.86097            0.791959           0.0690111            0.924612
                 350                0.84            0.871424            0.804208           0.0672162             0.90015
                 350                0.85            0.879227            0.813433           0.0657948            0.879925
                 350                0.86            0.889576            0.825786           0.0637906            0.855231
                 350                0.87            0.897293            0.835094           0.0621988            0.835005
                 350                0.88            0.907516             0.84757           0.0599462            0.809961
                 350                0.89            0.915129             0.85698           0.0581491            0.789633
                 350                 0.9            0.925197            0.869606           0.0555915            0.764095
                 350                0.91            0.932679            0.879142            0.053537            0.743542
                 350                0.92            0.942548             0.89196           0.0505872            0.717324
                 350                0.93            0.949855            0.901664           0.0481913            0.696385
                 350                0.94            0.959446            0.914745           0.0447008            0.669232
                 350                0.95            0.966499            0.924688           0.0418111            0.647681
                 350                0.96            0.975658            0.938173           0.0374853            0.619201
                 350                0.97            0.982277            0.948514           0.0337623            0.596662
                 350                0.98            0.990577            0.962763           0.0278132            0.566109
                 350                0.99            0.996087            0.974039           0.0220479            0.541663
                 350                   1                   1            0.991477          0.00852271            0.506316
                 400                 0.5             0.54227             0.45773           0.0845391             1.76316
                 400                0.51            0.552206            0.467683           0.0845227             1.73109
                 400                0.52            0.562126            0.477653           0.0844736              1.6997
                 400                0.53             0.57203            0.487638           0.0843916             1.66895
                 400                0.54            0.581917             0.49764           0.0842768             1.63882
                 400                0.55            0.591788            0.507659           0.0841289             1.60926
                 400                0.56            0.601642            0.517694           0.0839477             1.58025
                 400                0.57            0.611479            0.527746           0.0837331             1.55176
                 400                0.58              0.6213            0.537815           0.0834848             1.52376
                 400                0.59            0.631103            0.547901           0.0832024             1.49623
                 400                 0.6            0.640889            0.558004           0.0828856             1.46913
                 400                0.61            0.650658            0.568124           0.0825341             1.44245
                 400                0.62            0.660409            0.578262           0.0821473             1.41616
                 400                0.63            0.670142            0.588418           0.0817247             1.39024
