                 run          burst_time             poskick             negkick
               20485          1190349382                0.25               -0.25
               20485          1190349397                0.25               -0.25
               20485          1190349411                0.25               -0.25
               20485          1190349426                0.25               -0.25
               20485          1190349440                0.25               -0.25
               20485          1190349454                0.25               -0.25
               20485          1190349469                0.25               -0.25
               20485          1190349483                0.25               -0.25
               20485          1190349498                0.25               -0.25
               20485          1190349512                0.25               -0.25
               20485          1190349526                0.25               -0.25
               20485          1190349541                0.25               -0.25
               20485          1190349555                0.25               -0.25
               20485          1190349570                0.25               -0.25
               20485          1190349584                0.25               -0.25
               20485          1190349598                0.25               -0.25
               20485          1190349613                0.25               -0.25
               20485          1190349627                0.25               -0.25
               20485          1190349642                0.25               -0.25
               20485          1190349656                0.25               -0.25
               20485          1190349670                0.25               -0.25
               20485          1190349685                0.25               -0.25
               20485          1190349699                0.25               -0.25
               20485          1190349714                0.25               -0.25
               20485          1190349728                0.25               -0.25
               20485          1190349742                0.25               -0.25
               20485          1190349757                0.25               -0.25
               20485          1190349771                0.25               -0.25
               20485          1190349786                0.25               -0.25
               20485          1190349800                0.25               -0.25
               20485          1190349814                0.25               -0.25
               20485          1190349829                0.25               -0.25
               20485          1190349843                0.25               -0.25
               20485          1190349858                0.25               -0.25
               20485          1190349872                0.25               -0.25
               20485          1190349886                0.25               -0.25
               20485          1190349901                0.25               -0.25
               20485          1190349915                0.25               -0.25
               20485          1190349930                0.25               -0.25
               20485          1190349944                0.25               -0.25
               20485          1190349958                0.25               -0.25
               20485          1190349973                0.25               -0.25
               20485          1190349987                0.25               -0.25
               20485          1190350002                0.25               -0.25
               20485          1190350016                0.25               -0.25
               20485          1190350030                0.25               -0.25
               20485          1190350045                0.25               -0.25
               20485          1190350059                0.25               -0.25
               20485          1190350074                0.25               -0.25
               20485          1190350088                0.25               -0.25
               20485          1190350102                0.25               -0.25
               20485          1190350117                0.25               -0.25
               20485          1190350131                0.25               -0.25
               20485          1190350146                0.25               -0.25
               20485          1190350160                0.25               -0.25
               20485          1190350174                0.25               -0.25
               20485          1190350189                0.25               -0.25
               20485          1190350203                0.25               -0.25
               20485          1190350218                0.25               -0.25
               20485          1190350232                0.25               -0.25
               20485          1190350246                0.25               -0.25
               20485          1190350261                0.25               -0.25
               20485          1190350275                0.25               -0.25
               20485          1190350290                0.25               -0.25
               20485          1190350304                0.25               -0.25
               20485          1190350318                0.25               -0.25
               20485          1190350333                0.25               -0.25
               20485          1190350347                0.25               -0.25
               20485          1190350362                0.25               -0.25
               20485          1190350376                0.25               -0.25
               20485          1190350390                0.25               -0.25
               20485          1190350405                0.25               -0.25
               20485          1190350419                0.25               -0.25
               20485          1190350434                0.25               -0.25
               20485          1190350448                0.25               -0.25
               20485          1190350462                0.25               -0.25
               20485          1190350477                0.25               -0.25
               20485          1190350491                0.25               -0.25
               20485          1190350506                0.25               -0.25
               20485          1190350534                0.25               -0.25
               20485          1190350549                0.25               -0.25
               20485          1190350563                0.25               -0.25
               20485          1190350578                0.25               -0.25
               20485          1190350592                0.25               -0.25
               20485          1190350606                0.25               -0.25
               20485          1190350621                0.25               -0.25
               20485          1190350635                0.25               -0.25
               20485          1190350650                0.25               -0.25
               20485          1190350664                0.25               -0.25
               20485          1190350678                0.25               -0.25
               20485          1190350693                0.25               -0.25
               20485          1190350707                0.25               -0.25
               20485          1190350722                0.25               -0.25
               20485          1190350736                0.25               -0.25
               20485          1190350750                0.25               -0.25
               20485          1190350765                0.25               -0.25
               20485          1190350779                0.25               -0.25
               20485          1190350794                0.25               -0.25
               20485          1190350808                0.25               -0.25
               20485          1190350822                0.25               -0.25
               20485          1190350837                0.25               -0.25
               20485          1190350851                0.25               -0.25
               20485          1190350866                0.25               -0.25
               20485          1190350880                0.25               -0.25
               20485          1190350894                0.25               -0.25
               20485          1190350909                0.25               -0.25
               20485          1190350923                0.25               -0.25
               20485          1190350938                0.25               -0.25
               20485          1190350952                0.25               -0.25
               20485          1190350966                0.25               -0.25
               20485          1190350981                0.25               -0.25
               20485          1190350995                0.25               -0.25
               20485          1190351010                0.25               -0.25
               20485          1190351024                0.25               -0.25
               20485          1190351038                0.25               -0.25
               20485          1190351053                0.25               -0.25
               20485          1190351067                0.25               -0.25
               20485          1190351096                0.25               -0.25
               20485          1190351110                0.25               -0.25
               20485          1190351125                0.25               -0.25
               20485          1190351139                0.25               -0.25
               20485          1190351154                0.25               -0.25
               20485          1190351168                0.25               -0.25
               20485          1190351182                0.25               -0.25
               20485          1190351197                0.25               -0.25
               20485          1190351211                0.25               -0.25
               20485          1190351226                0.25               -0.25
               20485          1190351240                0.25               -0.25
               20485          1190351254                0.25               -0.25
               20485          1190351269                0.25               -0.25
               20485          1190351283                0.25               -0.25
               20485          1190351298                0.25               -0.25
               20485          1190351312                0.25               -0.25
               20485          1190351326                0.25               -0.25
               20485          1190351341                0.25               -0.25
               20485          1190351355                0.25               -0.25
               20485          1190351370                0.25               -0.25
               20485          1190351384                0.25               -0.25
               20485          1190351398                0.25               -0.25
               20485          1190351413                0.25               -0.25
               20485          1190351427                0.25               -0.25
               20485          1190351442                0.25               -0.25
               20485          1190351456                0.25               -0.25
               20485          1190351470                0.25               -0.25
               20485          1190351485                0.25               -0.25
               20485          1190351499                0.25               -0.25
               20485          1190351514                0.25               -0.25
               20485          1190351528                0.25               -0.25
               20485          1190351542                0.25               -0.25
               20485          1190351557                0.25               -0.25
               20485          1190351571                0.25               -0.25
               20485          1190351586                0.25               -0.25
               20485          1190351600                0.25               -0.25
               20485          1190351614                0.25               -0.25
               20485          1190351629                0.25               -0.25
               20485          1190351643                0.25               -0.25
               20485          1190351658                0.25               -0.25
               20485          1190351672                0.25               -0.25
               20485          1190351686                0.25               -0.25
               20485          1190351701                0.25               -0.25
               20485          1190351715                0.25               -0.25
               20485          1190351730                0.25               -0.25
               20485          1190351744                0.25               -0.25
               20485          1190351758                0.25               -0.25
               20485          1190351773                0.25               -0.25
               20485          1190351787                0.25               -0.25
               20485          1190351802                0.25               -0.25
               20485          1190351845                0.25               -0.25
               20485          1190351859                0.25               -0.25
               20485          1190351874                0.25               -0.25
               20485          1190351888                0.25               -0.25
               20485          1190351902                0.25               -0.25
               20485          1190351917                0.25               -0.25
               20485          1190351931                0.25               -0.25
               20485          1190351946                0.25               -0.25
               20485          1190351960                0.25               -0.25
               20485          1190351974                0.25               -0.25
               20485          1190351989                0.25               -0.25
               20485          1190352003                0.25               -0.25
               20485          1190352018                0.25               -0.25
               20485          1190352032                0.25               -0.25
               20485          1190352046                0.25               -0.25
               20485          1190352061                0.25               -0.25
               20485          1190352075                0.25               -0.25
               20485          1190352090                0.25               -0.25
               20485          1190352104                0.25               -0.25
               20485          1190352118                0.25               -0.25
               20485          1190352147                0.25               -0.25
               20485          1190352162                0.25               -0.25
               20485          1190352176                0.25               -0.25
               20485          1190352190                0.25               -0.25
               20485          1190352205                0.25               -0.25
               20485          1190352219                0.25               -0.25
               20485          1190352234                0.25               -0.25
               20485          1190352248                0.25               -0.25
               20485          1190352262                0.25               -0.25
               20485          1190352277                0.25               -0.25
               20485          1190352291                0.25               -0.25
               20485          1190352306                0.25               -0.25
               20485          1190352320                0.25               -0.25
               20485          1190352334                0.25               -0.25
               20485          1190352349                0.25               -0.25
               20485          1190352363                0.25               -0.25
