         z                  bx                  by
      4410         0.000243622        -0.000145445
      4420         0.000234671        -0.000142824
      4430         0.000225719        -0.000140202
      4440         0.000216768         -0.00013758
      4450         0.000207817        -0.000134958
      4460         0.000198865        -0.000132336
      4470         0.000189914        -0.000129715
      4480         0.000180963        -0.000127093
      4490         0.000172012        -0.000124471
      4500          0.00016306        -0.000121849
      4510         0.000154109        -0.000119227
      4520         0.000145158        -0.000116605
      4530         0.000136207        -0.000113984
      4540         0.000127255        -0.000111362
      4550         0.000118304         -0.00010874
      4560         0.000109353        -0.000106118
      4570         0.000100401        -0.000103496
      4580         9.14502e-05        -0.000100874
      4590         8.24989e-05        -9.82526e-05
      4600         7.35477e-05        -9.56308e-05
      4610         6.45964e-05         -9.3009e-05
      4620         5.56451e-05        -9.03872e-05
      4630         5.55571e-05        -9.15214e-05
      4640          5.6454e-05         -9.3073e-05
      4650         5.73508e-05        -9.46246e-05
      4660         5.82476e-05        -9.61762e-05
      4670         5.91444e-05        -9.77278e-05
      4680         6.00413e-05        -9.92794e-05
      4690         6.09381e-05        -0.000100831
      4700         6.18349e-05        -0.000102383
      4710         6.27317e-05        -0.000103934
      4720         6.36286e-05        -0.000105486
      4730         6.45254e-05        -0.000107037
      4740         6.54222e-05        -0.000108589
      4750          6.6319e-05         -0.00011014
      4760         6.72159e-05        -0.000111692
      4770         6.81127e-05        -0.000113244
      4780         6.90095e-05        -0.000114795
      4790         6.99063e-05        -0.000116347
      4800         7.08032e-05        -0.000117898
      4810            7.17e-05         -0.00011945
      4820         7.25968e-05        -0.000121002
