             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff       trig_err             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_br          ul_u2    high1_ul_br    high1_ul_u2     low1_ul_br     low1_ul_u2    high2_ul_br    high2_ul_u2     low2_ul_br     low2_ul_u2       dt_ul_br       dt_ul_u2       dt_ll_u2       err_scat       err_trig        err_muv       err_flux     err_hscale       err_hval
  mc.p5.hnu.288.nodk            288        0.08294        0.28800        0.30735        0.00330        0.20421        0.00048        0.89727        0.01495     1839.29815      162.37581     1866.00000    1.35157e+03    6.61849e+03    2.26113e-05    7.74319e-06    2.61515e-05    8.95550e-06    1.93479e-05    6.62563e-06    2.96915e-05    1.01678e-05    1.66115e-05    5.68858e-06    2.48342e-05    8.50441e-06    0.00000e+00    1.77869e+03    9.39034e+02    3.38302e+02    8.49077e+01    6.69196e+01    5.32704e+02
  mc.p5.hnu.289.nodk            289        0.08352        0.28900        0.30742        0.00330        0.20476        0.00048        0.90060        0.01434     1847.19562      156.80000     1885.00000    1.30537e+03    6.37501e+03    2.18385e-05    7.48661e-06    2.53698e-05    8.69718e-06    1.85911e-05    6.37333e-06    2.89008e-05    9.90769e-06    1.58853e-05    5.44575e-06    2.49592e-05    8.55642e-06    0.00000e+00    1.56498e+03    8.64559e+02    3.41213e+02    8.56384e+01    5.90847e+01    5.26690e+02
  mc.p5.hnu.290.nodk            290        0.08410        0.29000        0.30851        0.00330        0.20647        0.00049        0.91159        0.01357     1873.01939      159.56224     1915.00000    1.31733e+03    6.38037e+03    2.20386e-05    7.56402e-06    2.55403e-05    8.76586e-06    1.87426e-05    6.43277e-06    2.90419e-05    9.96769e-06    1.60563e-05    5.51079e-06    2.54588e-05    8.73791e-06    0.00000e+00    1.60904e+03    7.77231e+02    3.50820e+02    8.80496e+01    5.76217e+01    5.31695e+02
  mc.p5.hnu.291.nodk            291        0.08468        0.29100        0.30837        0.00330        0.20664        0.00049        0.91194        0.01352     1863.44304      148.84880     1903.00000    1.23184e+03    5.96121e+03    2.06083e-05    7.08200e-06    2.41082e-05    8.28474e-06    1.74063e-05    5.98166e-06    2.76080e-05    9.48746e-06    1.47651e-05    5.07401e-06    2.38640e-05    8.20083e-06    0.00000e+00    1.38133e+03    7.62992e+02    3.47242e+02    8.71515e+01    4.92910e+01    5.16814e+02
  mc.p5.hnu.292.nodk            292        0.08526        0.29200        0.30951        0.00330        0.20860        0.00049        0.91650        0.01316     1885.22504      147.49695     1902.00000    1.21167e+03    5.80868e+03    2.02710e-05    6.97548e-06    2.37382e-05    8.16860e-06    1.70313e-05    5.86068e-06    2.72861e-05    9.38945e-06    1.44308e-05    4.96580e-06    2.16418e-05    7.44719e-06    0.00000e+00    1.41381e+03    7.33308e+02    3.55407e+02    8.92009e+01    4.73139e+01    5.30132e+02
  mc.p5.hnu.293.nodk            293        0.08585        0.29300        0.30996        0.00330        0.20982        0.00049        0.91396        0.01322     1887.77033      145.35510     1840.00000    1.18598e+03    5.65230e+03    1.98411e-05    6.83737e-06    2.33682e-05    8.05284e-06    1.66978e-05    5.75419e-06    2.68156e-05    9.24084e-06    1.40636e-05    4.84643e-06    1.64348e-05    5.66353e-06    0.00000e+00    1.23417e+03    7.45801e+02    3.56368e+02    8.94419e+01    4.78912e+01    5.34417e+02
  mc.p5.hnu.294.nodk            294        0.08644        0.29400        0.30972        0.00330        0.20990        0.00049        0.90600        0.01405     1878.37110      154.86154     1821.00000    1.25871e+03    5.99666e+03    2.10579e-05    7.26783e-06    2.45027e-05    8.45675e-06    1.78949e-05    6.17615e-06    2.80277e-05    9.67333e-06    1.52105e-05    5.24966e-06    1.69824e-05    5.86122e-06    0.00000e+00    1.22191e+03    8.48858e+02    3.52828e+02    8.85535e+01    5.39258e+01    5.75543e+02
  mc.p5.hnu.295.nodk            295        0.08702        0.29500        0.30936        0.00310        0.20222        0.00048        0.89522        0.01576     1750.48818      154.05931     1685.00000    1.29637e+03    6.41056e+03    2.16880e-05    7.49745e-06    2.51805e-05    8.70479e-06    1.84781e-05    6.38781e-06    2.86731e-05    9.91217e-06    1.58013e-05    5.46246e-06    1.69490e-05    5.85920e-06    0.00000e+00    9.07292e+02    9.49185e+02    3.06421e+02    7.69062e+01    5.52560e+01    5.77484e+02
  mc.p5.hnu.299.nodk            299        0.08940        0.29900        0.31194        0.00310        0.20537        0.00048        0.89165        0.01589     1762.30306      147.18494     1760.00000    1.22469e+03    5.96321e+03    2.04887e-05    7.13591e-06    2.39284e-05    8.33393e-06    1.73367e-05    6.03811e-06    2.73682e-05    9.53197e-06    1.47304e-05    5.13040e-06    2.03257e-05    7.07916e-06    0.00000e+00    7.53990e+02    9.86940e+02    3.10571e+02    7.79478e+01    4.97061e+01    6.69751e+02
  mc.p5.hnu.300.nodk            300        0.09000        0.30000        0.31214        0.00310        0.20799        0.00049        0.88889        0.01576     1741.50114      129.89858     1752.00000    1.07698e+03    5.17802e+03    1.80176e-05    6.28853e-06    2.14163e-05    7.47477e-06    1.49402e-05    5.21445e-06    2.47341e-05    8.63277e-06    1.25130e-05    4.36732e-06    1.89077e-05    6.59921e-06    0.00000e+00    7.36295e+02    9.52924e+02    3.03283e+02    7.61185e+01    3.86179e+01    6.43578e+02
  mc.p5.hnu.301.nodk            301        0.09060        0.30100        0.31319        0.00310        0.20878        0.00049        0.89059        0.01569     1749.21829      127.76990     1734.00000    1.05854e+03    5.07004e+03    1.77091e-05    6.19458e-06    2.10951e-05    7.37901e-06    1.46434e-05    5.12222e-06    2.44007e-05    8.53527e-06    1.21815e-05    4.26104e-06    1.65416e-05    5.78621e-06    0.00000e+00    7.42835e+02    9.50208e+02    3.05976e+02    7.67946e+01    3.47137e+01    6.22396e+02
  mc.p5.hnu.302.nodk            302        0.09120        0.30200        0.31303        0.00310        0.20948        0.00049        0.88285        0.01575     1723.87061      107.00727     1751.00000    8.97649e+02    4.28510e+03    1.50174e-05    5.26524e-06    1.83958e-05    6.44973e-06    1.20865e-05    4.23764e-06    2.16937e-05    7.60602e-06    9.76678e-06    3.42432e-06    1.72697e-05    6.05490e-06    0.00000e+00    5.89595e+02    9.46164e+02    2.97173e+02    7.45851e+01    2.41396e+01    5.48279e+02
  mc.p5.hnu.304.nodk            304        0.09242        0.30400        0.31395        0.00310        0.21179        0.00049        0.88911        0.01496     1747.40229      118.82808     1773.00000    9.76873e+02    4.61246e+03    1.63428e-05    5.75840e-06    1.96823e-05    6.93507e-06    1.33432e-05    4.70149e-06    2.30218e-05    8.11172e-06    1.09736e-05    3.86656e-06    1.84101e-05    6.48681e-06    0.00000e+00    5.27418e+02    8.64599e+02    3.05341e+02    7.66353e+01    2.99919e+01    6.33071e+02
  mc.p5.hnu.305.nodk            305        0.09302        0.30500        0.31450        0.00310        0.21363        0.00049        0.88212        0.01527     1737.58650      112.45896     1780.00000    9.21200e+02    4.31208e+03    1.54114e-05    5.44456e-06    1.87231e-05    6.61453e-06    1.24563e-05    4.40057e-06    2.19560e-05    7.75664e-06    1.02005e-05    3.60365e-06    1.88020e-05    6.64238e-06    0.00000e+00    5.21509e+02    9.05029e+02    3.01921e+02    7.57767e+01    2.65184e+01    6.36597e+02
  mc.p5.hnu.306.nodk            306        0.09364        0.30600        0.31518        0.00310        0.21436        0.00049        0.88063        0.01532     1742.98033      123.89042     1798.00000    9.99026e+02    4.66051e+03    1.67134e-05    5.92080e-06    2.00118e-05    7.08926e-06    1.38104e-05    4.89239e-06    2.33105e-05    8.25781e-06    1.14323e-05    4.04992e-06    2.11114e-05    7.47878e-06    0.00000e+00    4.64450e+02    9.19261e+02    3.03798e+02    7.62479e+01    3.39549e+01    6.73540e+02
  mc.p5.hnu.307.nodk            307        0.09425        0.30700        0.31513        0.00290        0.20585        0.00048        0.88125        0.01580     1646.92015      128.37060     1668.00000    1.07172e+03    5.20638e+03    1.79295e-05    6.36980e-06    2.12820e-05    7.56084e-06    1.49637e-05    5.31613e-06    2.46347e-05    8.75193e-06    1.25008e-05    4.44116e-06    1.97284e-05    7.00887e-06    0.00000e+00    3.26888e+02    8.72323e+02    2.71235e+02    6.80750e+01    3.79834e+01    7.07035e+02
