             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff       trig_err             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_br          ul_u2    high1_ul_br    high1_ul_u2     low1_ul_br     low1_ul_u2    high2_ul_br    high2_ul_u2     low2_ul_br     low2_ul_u2       dt_ul_br       dt_ul_u2       dt_ll_u2       err_scat       err_trig        err_muv       err_flux     err_hscale       err_hval
  mc.p5.hnu.299.nodk            299        0.08940        0.29900        0.31194        0.00310        0.20537        0.00048        0.89165        0.01589     1762.30306       55.10945     1760.00000    5.54992e+02    2.70235e+03    9.28487e-06    3.23379e-06    1.27470e-05    4.43961e-06    6.44640e-06    2.24519e-06    1.62091e-05    5.64540e-06    4.64611e-06    1.61818e-06    9.12183e-06    3.17700e-06    0.00000e+00    7.53990e+02    9.86940e+02    3.10571e+02    7.79478e+01    4.97061e+01    6.69751e+02
  mc.p5.hnu.300.nodk            300        0.09000        0.30000        0.31214        0.00310        0.20799        0.00049        0.88889        0.01576     1741.50114       53.77773     1752.00000    5.37541e+02    2.58445e+03    8.99292e-06    3.13873e-06    1.24122e-05    4.33214e-06    6.20546e-06    2.16584e-06    1.57500e-05    5.49711e-06    4.48597e-06    1.56571e-06    9.88837e-06    3.45126e-06    0.00000e+00    7.36295e+02    9.52924e+02    3.03283e+02    7.61185e+01    3.86179e+01    6.43578e+02
  mc.p5.hnu.301.nodk            301        0.09060        0.30100        0.31319        0.00310        0.20878        0.00049        0.89059        0.01569     1749.21829       53.56161     1734.00000    5.35978e+02    2.56715e+03    8.96677e-06    3.13655e-06    1.23733e-05    4.32813e-06    6.18287e-06    2.16275e-06    1.56985e-05    5.49127e-06    4.43383e-06    1.55094e-06    7.83332e-06    2.74007e-06    0.00000e+00    7.42835e+02    9.50208e+02    3.05976e+02    7.67946e+01    3.47137e+01    6.22396e+02
  mc.p5.hnu.302.nodk            302        0.09120        0.30200        0.31303        0.00310        0.20948        0.00049        0.88285        0.01575     1723.87061       50.69163     1751.00000    5.12061e+02    2.44442e+03    8.56664e-06    3.00354e-06    1.19631e-05    4.19436e-06    5.88281e-06    2.06256e-06    1.52786e-05    5.35683e-06    4.17719e-06    1.46456e-06    1.08308e-05    3.79739e-06    0.00000e+00    5.89595e+02    9.46164e+02    2.97173e+02    7.45851e+01    2.41396e+01    5.48279e+02
  mc.p5.hnu.304.nodk            304        0.09242        0.30400        0.31395        0.00310        0.21179        0.00049        0.88911        0.01496     1747.40229       50.53599     1773.00000    5.09188e+02    2.40421e+03    8.51858e-06    3.00152e-06    1.18781e-05    4.18524e-06    5.79918e-06    2.04334e-06    1.52375e-05    5.36895e-06    4.12182e-06    1.45232e-06    1.05983e-05    3.73432e-06    0.00000e+00    5.27418e+02    8.64599e+02    3.05341e+02    7.66353e+01    2.99919e+01    6.33071e+02
  mc.p5.hnu.305.nodk            305        0.09302        0.30500        0.31450        0.00310        0.21363        0.00049        0.88212        0.01527     1737.58650       50.68676     1780.00000    5.04237e+02    2.36030e+03    8.43575e-06    2.98019e-06    1.17662e-05    4.15676e-06    5.74467e-06    2.02948e-06    1.50173e-05    5.30534e-06    4.11524e-06    1.45384e-06    1.18455e-05    4.18478e-06    0.00000e+00    5.21509e+02    9.05029e+02    3.01921e+02    7.57767e+01    2.65184e+01    6.36597e+02
  mc.p5.hnu.306.nodk            306        0.09364        0.30600        0.31518        0.00310        0.21436        0.00049        0.88063        0.01532     1742.98033       50.99046     1798.00000    5.02787e+02    2.34553e+03    8.41149e-06    2.97980e-06    1.17303e-05    4.15549e-06    5.78861e-06    2.05064e-06    1.50491e-05    5.33119e-06    4.11714e-06    1.45851e-06    1.28366e-05    4.54741e-06    0.00000e+00    4.64450e+02    9.19261e+02    3.03798e+02    7.62479e+01    3.39549e+01    6.73540e+02
  mc.p5.hnu.307.nodk            307        0.09425        0.30700        0.31513        0.00290        0.20585        0.00048        0.88125        0.01580     1646.92015       49.24930     1668.00000    5.07214e+02    2.46403e+03    8.48555e-06    3.01465e-06    1.18607e-05    4.21373e-06    5.82307e-06    2.06875e-06    1.52360e-05    5.41287e-06    4.13192e-06    1.46794e-06    1.02965e-05    3.65801e-06    0.00000e+00    3.26888e+02    8.72323e+02    2.71235e+02    6.80750e+01    3.79834e+01    7.07035e+02
  mc.p5.hnu.308.nodk            308        0.09486        0.30800        0.31597        0.00290        0.20679        0.00049        0.87342        0.01632     1639.19599       49.13497     1665.00000    5.07251e+02    2.45299e+03    8.48617e-06    3.02385e-06    1.17643e-05    4.19195e-06    5.76365e-06    2.05374e-06    1.51244e-05    5.38922e-06    4.12032e-06    1.46818e-06    1.06170e-05    3.78312e-06    0.00000e+00    3.23829e+02    9.38427e+02    2.68696e+02    6.74380e+01    2.96052e+01    6.73651e+02
  mc.p5.hnu.309.nodk            309        0.09548        0.30900        0.31590        0.00290        0.20795        0.00049        0.88323        0.01586     1670.91819       50.32719     1665.00000    5.10151e+02    2.45329e+03    8.53469e-06    3.05055e-06    1.18751e-05    4.24452e-06    5.89032e-06    2.10538e-06    1.52156e-05    5.43851e-06    4.19704e-06    1.50015e-06    8.14019e-06    2.90954e-06    0.00000e+00    3.36484e+02    8.99865e+02    2.79197e+02    7.00734e+01    3.98532e+01    7.53676e+02
