             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff       trig_err             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_br          ul_u2    high1_ul_br    high1_ul_u2     low1_ul_br     low1_ul_u2    high2_ul_br    high2_ul_u2     low2_ul_br     low2_ul_u2       dt_ul_br       dt_ul_u2       dt_ll_u2       err_scat       err_trig        err_muv       err_flux     err_hscale       err_hval
  mc.p5.hnu.287.nodk            287        0.08237        0.28700        0.30588        0.00330        0.20236        0.00048        0.88542        0.01558     1834.10267       61.56133     1851.00000    6.10527e+02    3.01704e+03    1.02014e-05    3.48996e-06    1.37078e-05    4.68953e-06    7.21950e-06    2.46985e-06    1.72974e-05    5.91757e-06    5.27645e-06    1.80511e-06    1.16206e-05    3.97551e-06    0.00000e+00    1.76866e+03    1.04124e+03    3.36393e+02    8.44260e+01    7.92457e+01    4.79829e+02
  mc.p5.hnu.288.nodk            288        0.08294        0.28800        0.30735        0.00330        0.20421        0.00048        0.89813        0.01483     1870.28012       61.68723     1872.00000    6.06902e+02    2.97194e+03    1.01408e-05    3.47268e-06    1.36978e-05    4.69079e-06    7.18831e-06    2.46162e-06    1.72548e-05    5.90885e-06    5.22546e-06    1.78944e-06    1.03062e-05    3.52932e-06    0.00000e+00    1.83912e+03    9.53907e+02    3.49795e+02    8.77894e+01    8.11359e+01    4.93566e+02
  mc.p5.hnu.289.nodk            289        0.08352        0.28900        0.30742        0.00330        0.20476        0.00048        0.90138        0.01423     1881.76373       59.32294     1893.00000    5.88146e+02    2.87231e+03    9.82739e-06    3.36900e-06    1.34581e-05    4.61367e-06    6.90974e-06    2.36877e-06    1.70064e-05    5.83008e-06    5.02822e-06    1.72376e-06    1.08174e-05    3.70840e-06    0.00000e+00    1.62410e+03    8.82318e+02    3.54103e+02    8.88708e+01    7.96545e+01    4.90165e+02
  mc.p5.hnu.290.nodk            290        0.08410        0.29000        0.30851        0.00330        0.20647        0.00049        0.91245        0.01344     1903.26140       58.99732     1925.00000    5.84845e+02    2.83265e+03    9.77224e-06    3.35400e-06    1.32914e-05    4.56185e-06    6.81181e-06    2.33793e-06    1.68925e-05    5.79778e-06    4.95770e-06    1.70157e-06    1.15728e-05    3.97197e-06    0.00000e+00    1.66142e+03    7.86222e+02    3.62240e+02    9.09129e+01    8.32445e+01    4.96644e+02
  mc.p5.hnu.291.nodk            291        0.08468        0.29100        0.30837        0.00330        0.20664        0.00049        0.91245        0.01344     1892.75421       56.63942     1913.00000    5.66457e+02    2.74125e+03    9.46499e-06    3.25263e-06    1.30639e-05    4.48940e-06    6.58978e-06    2.26457e-06    1.65811e-05    5.69807e-06    4.72803e-06    1.62478e-06    1.11826e-05    3.84288e-06    0.00000e+00    1.42512e+03    7.77565e+02    3.58252e+02    8.99119e+01    7.65590e+01    4.80612e+02
  mc.p5.hnu.292.nodk            292        0.08526        0.29200        0.30951        0.00330        0.20860        0.00049        0.91715        0.01307     1905.13233       56.45716     1910.00000    5.63710e+02    2.70239e+03    9.41909e-06    3.24122e-06    1.29035e-05    4.44024e-06    6.50118e-06    2.23713e-06    1.64688e-05    5.66709e-06    4.66559e-06    1.60548e-06    9.82426e-06    3.38064e-06    0.00000e+00    1.44383e+03    7.36839e+02    3.62953e+02    9.10917e+01    7.14788e+01    4.81222e+02
  mc.p5.hnu.293.nodk            293        0.08585        0.29300        0.30996        0.00330        0.20982        0.00049        0.91461        0.01313     1892.22354       54.13756     1852.00000    5.45058e+02    2.59772e+03    9.10742e-06    3.13848e-06    1.25725e-05    4.33257e-06    6.22495e-06    2.14516e-06    1.61182e-05    5.55444e-06    4.46824e-06    1.53979e-06    6.43584e-06    2.21784e-06    0.00000e+00    1.24000e+03    7.37444e+02    3.58051e+02    8.98615e+01    5.73610e+01    4.48158e+02
  mc.p5.hnu.294.nodk            294        0.08644        0.29400        0.30972        0.00330        0.20990        0.00049        0.90656        0.01397     1888.46416       55.39783     1829.00000    5.51166e+02    2.62582e+03    9.20949e-06    3.17852e-06    1.26727e-05    4.37378e-06    6.37897e-06    2.20161e-06    1.62163e-05    5.59681e-06    4.55845e-06    1.57328e-06    5.61157e-06    1.93675e-06    0.00000e+00    1.23508e+03    8.47254e+02    3.56630e+02    8.95048e+01    6.13653e+01    4.79088e+02
  mc.p5.hnu.295.nodk            295        0.08702        0.29500        0.30936        0.00310        0.20222        0.00048        0.89593        0.01565     1763.64617       52.73226     1691.00000    5.46843e+02    2.70414e+03    9.13726e-06    3.15871e-06    1.26500e-05    4.37307e-06    6.28381e-06    2.17229e-06    1.61628e-05    5.58742e-06    4.49941e-06    1.55543e-06    4.92335e-06    1.70198e-06    0.00000e+00    9.20984e+02    9.49687e+02    3.11045e+02    7.80641e+01    5.08269e+01    4.70085e+02
  mc.p5.hnu.299.nodk            299        0.08940        0.29900        0.31194        0.00310        0.20537        0.00048        0.89189        0.01586     1761.36963       52.24434     1770.00000    5.36644e+02    2.61301e+03    8.96683e-06    3.12302e-06    1.24261e-05    4.32784e-06    6.15253e-06    2.14284e-06    1.58853e-05    5.53262e-06    4.39722e-06    1.53149e-06    9.70810e-06    3.38119e-06    0.00000e+00    7.53191e+02    9.81178e+02    3.10242e+02    7.78627e+01    4.56115e+01    5.61385e+02
